"data";"valor"
"07/07/2020";"5,3312"
"08/07/2020";"5,3476"
"09/07/2020";"5,2972"
"10/07/2020";"5,3434"
"13/07/2020";"5,3480"
"14/07/2020";"5,4282"
"15/07/2020";"5,3485"
"16/07/2020";"5,3554"
"17/07/2020";"5,3504"
"20/07/2020";"5,3629"
"21/07/2020";"5,2277"
"22/07/2020";"5,1105"
"23/07/2020";"5,1641"
"24/07/2020";"5,2140"
"27/07/2020";"5,1883"
"28/07/2020";"5,1771"
"29/07/2020";"5,1389"
"30/07/2020";"5,1831"
"31/07/2020";"5,2027"
"03/08/2020";"5,3069"
"04/08/2020";"5,3323"
"05/08/2020";"5,2754"
"06/08/2020";"5,3425"
"07/08/2020";"5,4221"
"10/08/2020";"5,3927"
"11/08/2020";"5,4279"
"12/08/2020";"5,4545"
"13/08/2020";"5,3795"
"14/08/2020";"5,3846"
"17/08/2020";"5,4491"
"18/08/2020";"5,4653"
"19/08/2020";"5,4900"
"20/08/2020";"5,6504"
"21/08/2020";"5,6058"
"24/08/2020";"5,5948"
"25/08/2020";"5,5991"
"26/08/2020";"5,5674"
"27/08/2020";"5,5950"
"28/08/2020";"5,4673"
"31/08/2020";"5,4707"
"01/09/2020";"5,3726"
"02/09/2020";"5,3735"
"03/09/2020";"5,3073"
"04/09/2020";"5,2842"
"08/09/2020";"5,3692"
"09/09/2020";"5,3018"
"10/09/2020";"5,2930"
"11/09/2020";"5,2848"
"14/09/2020";"5,2978"
"15/09/2020";"5,2722"
"16/09/2020";"5,2526"
"17/09/2020";"5,2587"
"18/09/2020";"5,2883"
"21/09/2020";"5,4434"
"22/09/2020";"5,4323"
"23/09/2020";"5,5305"
"24/09/2020";"5,5708"
"25/09/2020";"5,5661"
"28/09/2020";"5,5852"
"29/09/2020";"5,6521"
"30/09/2020";"5,6401"
"01/10/2020";"5,6435"
"02/10/2020";"5,6458"
"05/10/2020";"5,6293"
"06/10/2020";"5,5199"
"07/10/2020";"5,6012"
"08/10/2020";"5,6194"
"09/10/2020";"5,5387"
"13/10/2020";"5,5854"
"14/10/2020";"5,5669"
"15/10/2020";"5,6166"
"16/10/2020";"5,6220"
"19/10/2020";"5,6017"
"20/10/2020";"5,5824"
"21/10/2020";"5,6000"
"22/10/2020";"5,5814"
"23/10/2020";"5,6114"
"26/10/2020";"5,6322"
"27/10/2020";"5,6484"
"28/10/2020";"5,7319"
"29/10/2020";"5,7797"
"30/10/2020";"5,7712"
"03/11/2020";"5,6889"
"04/11/2020";"5,6926"
"05/11/2020";"5,5618"
"06/11/2020";"5,5307"
"09/11/2020";"5,2815"
"10/11/2020";"5,3690"
"11/11/2020";"5,4014"
"12/11/2020";"5,4088"
"13/11/2020";"5,4848"
"16/11/2020";"5,4192"
"17/11/2020";"5,3962"
"18/11/2020";"5,2926"
"19/11/2020";"5,3324"
"20/11/2020";"5,3499"
"23/11/2020";"5,3822"
"24/11/2020";"5,4031"
"25/11/2020";"5,3502"
"26/11/2020";"5,3195"
"27/11/2020";"5,3488"
"30/11/2020";"5,3311"
"01/12/2020";"5,2783"
"02/12/2020";"5,2261"
"03/12/2020";"5,1619"
"04/12/2020";"5,1700"
"07/12/2020";"5,1012"
"08/12/2020";"5,0914"
"09/12/2020";"5,1103"
"10/12/2020";"5,0846"
"11/12/2020";"5,0685"
"14/12/2020";"5,0572"
"15/12/2020";"5,0962"
"16/12/2020";"5,1051"
"17/12/2020";"5,0606"
"18/12/2020";"5,0980"
"21/12/2020";"5,1566"
"22/12/2020";"5,1467"
"23/12/2020";"5,1734"
"24/12/2020";"5,1785"
"28/12/2020";"5,2384"
"29/12/2020";"5,1936"
"30/12/2020";"5,1961"
"31/12/2020";"5,1961"
"04/01/2021";"5,1620"
"05/01/2021";"5,3263"
"06/01/2021";"5,3176"
"07/01/2021";"5,3427"
"08/01/2021";"5,3677"
"11/01/2021";"5,4960"
"12/01/2021";"5,4631"
"13/01/2021";"5,3064"
"14/01/2021";"5,2611"
"15/01/2021";"5,2708"
"18/01/2021";"5,2782"
"19/01/2021";"5,2939"
"20/01/2021";"5,3027"
"21/01/2021";"5,3160"
"22/01/2021";"5,4295"
"25/01/2021";"5,5074"
"26/01/2021";"5,3859"
"27/01/2021";"5,3818"
"28/01/2021";"5,4276"
"29/01/2021";"5,4753"
"01/02/2021";"5,4602"
"02/02/2021";"5,3869"
"03/02/2021";"5,3417"
"04/02/2021";"5,3904"
"05/02/2021";"5,3878"
"08/02/2021";"5,3664"
"09/02/2021";"5,4210"
"10/02/2021";"5,4018"
"11/02/2021";"5,3620"
"12/02/2021";"5,3809"
"17/02/2021";"5,4132"
"18/02/2021";"5,4232"
"19/02/2021";"5,3918"
"22/02/2021";"5,5038"
"23/02/2021";"5,4484"
"24/02/2021";"5,4176"
"25/02/2021";"5,4594"
"26/02/2021";"5,5296"
"01/03/2021";"5,5826"
"02/03/2021";"5,6838"
"03/03/2021";"5,7336"
"04/03/2021";"5,6002"
"05/03/2021";"5,6864"
"08/03/2021";"5,7337"
"09/03/2021";"5,8391"
"10/03/2021";"5,7443"
"11/03/2021";"5,5884"
"12/03/2021";"5,5634"
"15/03/2021";"5,6290"
"16/03/2021";"5,5845"
"17/03/2021";"5,6573"
"18/03/2021";"5,5468"
"19/03/2021";"5,5076"
"22/03/2021";"5,5263"
"23/03/2021";"5,4945"
"24/03/2021";"5,5324"
"25/03/2021";"5,6579"
"26/03/2021";"5,7036"
"29/03/2021";"5,7919"
"30/03/2021";"5,7636"
"31/03/2021";"5,6967"
"01/04/2021";"5,6843"
"05/04/2021";"5,6573"
"06/04/2021";"5,6257"
"07/04/2021";"5,5858"
"08/04/2021";"5,5811"
"09/04/2021";"5,6439"
"12/04/2021";"5,6576"
"13/04/2021";"5,7058"
"14/04/2021";"5,6930"
"15/04/2021";"5,6228"
"16/04/2021";"5,6322"
"19/04/2021";"5,5744"
"20/04/2021";"5,5260"
"22/04/2021";"5,4964"
"23/04/2021";"5,4781"
"26/04/2021";"5,4560"
"27/04/2021";"5,4418"
"28/04/2021";"5,3999"
"29/04/2021";"5,3656"
"30/04/2021";"5,4030"
"03/05/2021";"5,4081"
"04/05/2021";"5,4499"
"05/05/2021";"5,3866"
"06/05/2021";"5,2891"
"07/05/2021";"5,2211"
"10/05/2021";"5,2221"
"11/05/2021";"5,2397"
"12/05/2021";"5,2347"
"13/05/2021";"5,2809"
"14/05/2021";"5,2695"
"17/05/2021";"5,2749"
"18/05/2021";"5,2582"
"19/05/2021";"5,2816"
"20/05/2021";"5,2899"
"21/05/2021";"5,3021"
"24/05/2021";"5,3192"
"25/05/2021";"5,3137"
"26/05/2021";"5,3158"
"27/05/2021";"5,2833"
"28/05/2021";"5,2274"
"31/05/2021";"5,2316"
"01/06/2021";"5,1630"
"02/06/2021";"5,1140"
"04/06/2021";"5,0661"
"07/06/2021";"5,0492"
"08/06/2021";"5,0483"
"09/06/2021";"5,0527"
"10/06/2021";"5,0629"
"11/06/2021";"5,1184"
"14/06/2021";"5,0701"
"15/06/2021";"5,0868"
"16/06/2021";"5,0201"
"17/06/2021";"5,0353"
"18/06/2021";"5,0308"
"21/06/2021";"5,0367"
"22/06/2021";"5,0172"
"23/06/2021";"4,9513"
"24/06/2021";"4,9271"
"25/06/2021";"4,9200"
"28/06/2021";"4,9414"
"29/06/2021";"4,9444"
"30/06/2021";"5,0016"
"01/07/2021";"5,0049"
"02/07/2021";"5,0287"
"05/07/2021";"5,0743"
"06/07/2021";"5,1639"
"07/07/2021";"5,2322"
"08/07/2021";"5,2581"
"09/07/2021";"5,2370"
"12/07/2021";"5,2233"
"13/07/2021";"5,1764"
"14/07/2021";"5,0874"
"15/07/2021";"5,0994"
"16/07/2021";"5,0935"
"19/07/2021";"5,1972"
"20/07/2021";"5,2459"
"21/07/2021";"5,2510"
"22/07/2021";"5,1972"
"23/07/2021";"5,1695"
"26/07/2021";"5,1857"
"27/07/2021";"5,1663"
"28/07/2021";"5,1521"
"29/07/2021";"5,0676"
"30/07/2021";"5,1210"
"02/08/2021";"5,1373"
"03/08/2021";"5,2458"
"04/08/2021";"5,2085"
"05/08/2021";"5,1459"
"06/08/2021";"5,2404"
"09/08/2021";"5,2768"
"10/08/2021";"5,2211"
"11/08/2021";"5,2007"
"12/08/2021";"5,2345"
"13/08/2021";"5,2468"
"16/08/2021";"5,2489"
"17/08/2021";"5,2579"
"18/08/2021";"5,3019"
"19/08/2021";"5,4174"
"20/08/2021";"5,4268"
"23/08/2021";"5,3680"
"24/08/2021";"5,3011"
"25/08/2021";"5,2459"
"26/08/2021";"5,2423"
"27/08/2021";"5,2194"
"30/08/2021";"5,1946"
"31/08/2021";"5,1427"
"01/09/2021";"5,1570"
"02/09/2021";"5,1729"
"03/09/2021";"5,1679"
"06/09/2021";"5,1767"
"08/09/2021";"5,2518"
"09/09/2021";"5,2819"
"10/09/2021";"5,2152"
"13/09/2021";"5,2184"
"14/09/2021";"5,2254"
"15/09/2021";"5,2570"
"16/09/2021";"5,2588"
"17/09/2021";"5,3097"
"20/09/2021";"5,3326"
"21/09/2021";"5,3038"
"22/09/2021";"5,2777"
"23/09/2021";"5,2885"
"24/09/2021";"5,3429"
"27/09/2021";"5,3472"
"28/09/2021";"5,4200"
"29/09/2021";"5,4167"
"30/09/2021";"5,4388"
"01/10/2021";"5,3905"
"04/10/2021";"5,4198"
"05/10/2021";"5,4605"
"06/10/2021";"5,5091"
"07/10/2021";"5,5134"
"08/10/2021";"5,5078"
"11/10/2021";"5,5155"
"13/10/2021";"5,5464"
"14/10/2021";"5,4982"
"15/10/2021";"5,4504"
"18/10/2021";"5,5187"
"19/10/2021";"5,5515"
"20/10/2021";"5,5565"
"21/10/2021";"5,6417"
"22/10/2021";"5,7111"
"25/10/2021";"5,5967"
"26/10/2021";"5,5794"
"27/10/2021";"5,5661"
"28/10/2021";"5,6118"
"29/10/2021";"5,6424"
"01/11/2021";"5,6688"
