"data";"valor"
"01/07/2020";"2,15"
"01/08/2020";"1,94"
"01/09/2020";"1,90"
"01/10/2020";"1,90"
"01/11/2020";"1,90"
"01/12/2020";"1,90"
"01/01/2021";"1,90"
"01/02/2021";"1,90"
"01/03/2021";"2,23"
"01/04/2021";"2,65"
"01/05/2021";"3,29"
"01/06/2021";"3,76"
"01/07/2021";"4,15"
"01/08/2021";"5,01"
"01/09/2021";"5,43"
"01/10/2021";"6,30"
"01/11/2021";"7,65"
"01/12/2021";"8,76"
"01/01/2022";"9,15"
"01/02/2022";"10,49"
"01/03/2022";"11,15"
"01/04/2022";"11,65"
"01/05/2022";"12,51"
"01/06/2022";"12,89"
"01/07/2022";"13,15"
"01/08/2022";"13,58"
"01/09/2022";"13,65"
"01/10/2022";"13,65"
"01/11/2022";"13,65"
"01/12/2022";"13,65"
"01/01/2023";"13,65"
"01/02/2023";"13,65"
"01/03/2023";"13,65"
"01/04/2023";"13,65"
"01/05/2023";"13,65"
"01/06/2023";"13,65"
"01/07/2023";"13,65"
"01/08/2023";"13,19"
"01/09/2023";"12,97"
"01/10/2023";"12,65"
"01/11/2023";"12,17"
"01/12/2023";"11,87"
"01/01/2024";"11,65"
"01/02/2024";"11,15"
"01/03/2024";"11,00"
"01/04/2024";"10,65"
"01/05/2024";"10,46"
"01/06/2024";"10,40"
"01/07/2024";"10,40"
"01/08/2024";"10,40"
"01/09/2024";"10,50"
"01/10/2024";"10,65"
"01/11/2024";"11,04"
"01/12/2024";"11,77"
"01/01/2025";"12,24"
"01/02/2025";"13,15"
"01/03/2025";"13,57"
"01/04/2025";"14,15"
"01/05/2025";"14,55"
"01/06/2025";"14,74"
"01/07/2025";"14,90"
