match_id,utc_date,status,competition,season_start,season_end,home_team,away_team,score_home,score_away
534938,2025-03-29 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,São Paulo FC,SC Recife,0.0,0.0
534940,2025-03-29 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Cruzeiro EC,Mirassol FC,2.0,1.0
534941,2025-03-29 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Grêmio FBPA,CA Mineiro,2.0,1.0
534943,2025-03-29 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Fortaleza EC,Fluminense FC,2.0,0.0
534944,2025-03-29 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Juventude,EC Vitória,2.0,0.0
534935,2025-03-30 00:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Flamengo,SC Internacional,1.0,1.0
534937,2025-03-30 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SE Palmeiras,Botafogo FR,0.0,0.0
534936,2025-03-30 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CR Vasco da Gama,Santos FC,2.0,1.0
534942,2025-03-30 23:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Bahia,SC Corinthians Paulista,1.0,1.0
534939,2025-03-31 23:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,RB Bragantino,Ceará SC,2.0,2.0
534947,2025-04-05 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Corinthians Paulista,CR Vasco da Gama,3.0,0.0
534953,2025-04-05 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Ceará SC,Grêmio FBPA,2.0,0.0
534946,2025-04-06 00:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Botafogo FR,EC Juventude,2.0,0.0
534945,2025-04-06 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Fluminense FC,RB Bragantino,2.0,1.0
534950,2025-04-06 19:00:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,CA Mineiro,São Paulo FC,0.0,0.0
534949,2025-04-06 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,Mirassol FC,Fortaleza EC,1.0,1.0
534951,2025-04-06 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Internacional,Cruzeiro EC,3.0,0.0
534952,2025-04-06 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,EC Vitória,CR Flamengo,1.0,2.0
534954,2025-04-06 21:30:00+00:00,FINISHED,Campeonato Brasileiro Série A,2025-03-29,2025-12-21,SC Recife,SE Palmeiras,1.0,2.0
